College_Name,Location,Fees,College_URL
"AHS Nursing College & Hospital, Samastipur","Samastipur, Bihar","₹ 7,00,000",https://collegedunia.com/college/64736-ahs-nursing-college-and-hospital-samastipur
"Krishna Vishwa Vidyapeeth, Karad","Karad, Maharashtra","₹ 57,000",https://collegedunia.com/university/25708-krishna-vishwa-vidyapeeth-karad
"Hi-Tech College of Nursing - [HCN], Bhubaneswar","Bhubaneswar, Odisha","₹ 1,70,000",https://collegedunia.com/college/63194-hitech-college-of-nursing-hcn-bhubaneswar
"Vivekanand Paramedical & Nursing College, Gaya","Gaya, Bihar","₹ 1,68,000",https://collegedunia.com/college/65062-vivekanand-paramedical-and-nursing-college-gaya
"Magadh Paramedical & Nursing Institute, Gaya","Gaya, Bihar","₹ 1,68,000",https://collegedunia.com/college/65063-magadh-paramedical-and-nursing-institute-gaya
"Martin Luther Christian University - [MLCU], Shillong","Shillong, Meghalaya","₹ 1,64,460",https://collegedunia.com/university/59853-martin-luther-christian-university-mlcu-shillong
"Javitri Institute of Medical Sciences, Lucknow","Lucknow, Uttar Pradesh","₹ 1,65,000",https://collegedunia.com/college/64286-javitri-institute-of-medical-sciences-lucknow
"Pratiksha School of Nursing - [PSN], Guwahati","Guwahati, Assam","₹ 1,63,250",https://collegedunia.com/college/64759-pratiksha-school-of-nursing-psn-guwahati
"PES University - [PESU], Bangalore","Bangalore, Karnataka","₹ 1,71,200",https://collegedunia.com/university/28294-pes-university-pesu-bangalore
"Mona School of Nursing and Paramedical college, Patna","Patna, Bihar","₹ 6,50,000",https://collegedunia.com/college/62301-mona-school-of-nursing-and-paramedical-college-patna
"Varma College of Nursing and Paramedical Science, Patna","Patna, Bihar","₹ 6,50,000",https://collegedunia.com/college/62302-varma-college-of-nursing-and-paramedical-science-patna
"M.R. Institute of Nursing, North 24 Parganas","North 24 Parganas, West Bengal","₹ 2,90,000",https://collegedunia.com/college/64321-mr-institute-of-nursing-north-24-parganas
"Ravel Institute Of Nursing - [RIN], Kolkata","Kolkata, West Bengal","₹ 2,37,500",https://collegedunia.com/college/64765-ravel-institute-of-nursing-rin-kolkata
"Galgotias University - [GU], Greater Noida","Greater Noida, Uttar Pradesh","₹ 1,60,000",https://collegedunia.com/university/25940-galgotias-university-gu-greater-noida
"Amity University, Noida","Noida, Uttar Pradesh","₹ 1,60,000",https://collegedunia.com/university/54797-amity-university-noida
"Kasturba Gandhi Nursing College - [KGNC], Pondicherry","Pondicherry, Puducherry","₹ 1,60,000",https://collegedunia.com/college/59741-kasturba-gandhi-nursing-college-kgnc-pondicherry
"Yenepoya (Deemed-to-be University) Bangalore - Powered by Emversity, Bangalore","Bangalore, Karnataka","₹ 6,36,000",https://collegedunia.com/university/64991-yenepoya-deemedtobe-university-bangalore-powered-by-emversity-bangalore
"ECR College of Nursing, Udupi","Udupi, Karnataka","₹ 1,80,000",https://collegedunia.com/college/64867-ecr-college-of-nursing-udupi
"Symbiosis International University - [SIU], Pune","Pune, Maharashtra","₹ 2,23,000",https://collegedunia.com/university/25727-symbiosis-international-university-siu-pune
"Charotar University of Science and Technology - [CHARUSAT], Anand","Anand, Gujarat","₹ 1,56,000",https://collegedunia.com/university/25482-charotar-university-of-science-and-technology-charusat-anand
"Usha Martin University - [UMU], Ranchi","Ranchi, Jharkhand","₹ 1,71,000",https://collegedunia.com/university/59359-usha-martin-university-umu-ranchi
